0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.016561579806779,-0.999862518510310,0.000811266000140
0.001851868327687,-0.999997811537190,-0.000973398442434
-0.012844782500340,-0.999912188516724,-0.003259880092099
-0.027536672778487,-0.999602130967522,-0.006108307251582
-0.042231015637544,-0.999061841781046,-0.009590496091773
-0.056933541242589,-0.998282696431690,-0.013792385096593
-0.071647964203473,-0.997252469090132,-0.018817069887004
-0.086375257559676,-0.995954235933816,-0.024788602360539
-0.101112651406765,-0.994364811507830,-0.031856763182909
-0.115852236831286,-0.992452503810365,-0.040203070799697
-0.130578999840809,-0.990173867277374,-0.050048350237987
-0.145268026038742,-0.987468971012242,-0.061662240462314
-0.159880491342443,-0.984254454631326,-0.075375042464272
-0.174357868794769,-0.980413277953078,-0.091592237676817
-0.188613515638226,-0.975779539343756,-0.110811697562471
-0.202520446146920,-0.970116013669268,-0.133642766040294
-0.215893677757707,-0.963081211920360,-0.160824435799608
-0.228465243189839,-0.954182172485520,-0.193235644654450
-0.239850375154680,-0.942710102157682,-0.231882428890185
-0.249506016278348,-0.927661654964704,-0.277831966751586
-0.256690943854099,-0.907666072503259,-0.332042256602680
-0.260455390394640,-0.880978198373344,-0.395019497753254
-0.259718312060390,-0.845661406249188,-0.466265143841086
-0.253510569007219,-0.800122851245892,-0.543632057844072
-0.241403834869257,-0.744024294103330,-0.623018489528568
-0.223948171984370,-0.679152471256811,-0.698998667416917
-0.202754444132719,-0.609449608162175,-0.766460573346995
-0.180029598186904,-0.539850834585961,-0.822283661623836
-0.157855263628343,-0.474665520463389,-0.865895120339667
-0.137690055979049,-0.416580200567674,-0.898611364817674
-0.120275813685959,-0.366604558003134,-0.922569686632672
-0.105802933669843,-0.324558761748321,-0.939929438521452
-0.094134043767589,-0.289629949262052,-0.952498437948547
-0.084980376243344,-0.260776535149801,-0.961651669976611
-0.078010614277249,-0.236957783747373,-0.968382854444263
-0.072907417942371,-0.217238723380338,-0.973391927988443
-0.069391705498662,-0.200823445502775,-0.977166687389813
-0.067229592502119,-0.187053150032242,-0.980046581012869
-0.066230996694964,-0.175389632492476,-0.982268767645060
-0.066244738587761,-0.165394657026604,-0.984000122986014
-0.067152455056811,-0.156709916001542,-0.985359096982736
-0.068862234164527,-0.149039363603678,-0.986430565626634
-0.071302097768964,-0.142134379471172,-0.987275963966555
-0.074413014173670,-0.135781736165444,-0.987940293461850
-0.078140901397886,-0.129794339321674,-0.988457095178529
-0.082427150123413,-0.124005020426117,-0.988852122327525
-0.087197825422795,-0.118264222793118,-0.989146153431673
-0.092353191012493,-0.112443233749322,-0.989357067642318
-0.097760406739395,-0.106446621640734,-0.989500894196373
-0.103240345151005,-0.100253498392327,-0.989591161638584
-0.108255048803644,-0.094353969525826,-0.989635373682267
-0.108255048803644,-0.094353969525826,-0.989635373682267
